filename,joint,x,y,z,u,v,isincluded
0000000.jpg,0,0.7002264261245728,0.07151596248149872,-5.205926936469041e-05,448,34,1
0000000.jpg,1,0.6583561301231384,0.08621380478143692,-0.006073424592614174,421,41,1
0000000.jpg,2,0.6326818466186523,0.1176019161939621,-0.013617707416415215,404,56,1
0000000.jpg,3,0.6144323348999023,0.1581137478351593,-0.013509176671504974,393,75,1
0000000.jpg,4,0.5984307527542114,0.19059406220912933,-0.013873870484530926,382,91,1
0000000.jpg,5,0.6522836089134216,0.15925461053848267,-0.052140988409519196,417,76,1
0000000.jpg,6,0.631398618221283,0.22410613298416138,-0.05718090012669563,404,107,1
0000000.jpg,7,0.619476318359375,0.25817009806632996,-0.051795732229948044,396,123,1
0000000.jpg,8,0.6118334531784058,0.28365251421928406,-0.04699452966451645,391,136,1
0000000.jpg,9,0.6750150322914124,0.17204490303993225,-0.04097909852862358,432,82,1
0000000.jpg,10,0.6542298793792725,0.24141298234462738,-0.049837060272693634,418,115,1
0000000.jpg,11,0.6442757844924927,0.2802063226699829,-0.04430053010582924,412,134,1
0000000.jpg,12,0.6379296183586121,0.31047630310058594,-0.04085171967744827,408,149,1
0000000.jpg,13,0.6947787404060364,0.17705029249191284,-0.025568997487425804,444,84,1
0000000.jpg,14,0.6780739426612854,0.24123534560203552,-0.03010707162320614,433,115,1
0000000.jpg,15,0.6688952445983887,0.2792884111404419,-0.027411844581365585,428,134,1
0000000.jpg,16,0.6628095507621765,0.30800294876098633,-0.025343218818306923,424,147,1
0000000.jpg,17,0.7107412219047546,0.17538776993751526,-0.007496517617255449,454,84,1
0000000.jpg,18,0.7007849216461182,0.22890645265579224,-0.011283917352557182,448,109,1
0000000.jpg,19,0.6952313184738159,0.25761187076568604,-0.012382522225379944,444,123,1
0000000.jpg,20,0.6906282901763916,0.2799917459487915,-0.013427269645035267,442,134,1
0000001.jpg,0,0.6999422907829285,0.07110999524593353,-5.9861318732146174e-05,447,34,1
0000001.jpg,1,0.6582881212234497,0.08565378934144974,-0.006596127059310675,421,41,1
0000001.jpg,2,0.6323696374893188,0.11744311451911926,-0.014851110056042671,404,56,1
0000001.jpg,3,0.6138174533843994,0.1583523005247116,-0.015360983088612556,392,76,1
0000001.jpg,4,0.5982772707939148,0.1916390359401703,-0.016353236511349678,382,91,1
0000001.jpg,5,0.6523446440696716,0.15853700041770935,-0.05424785614013672,417,76,1
0000001.jpg,6,0.631784200668335,0.22444239258766174,-0.060035038739442825,404,107,1
0000001.jpg,7,0.6199701428413391,0.259366899728775,-0.05513951927423477,396,124,1
0000001.jpg,8,0.6122176647186279,0.28595539927482605,-0.0507892481982708,391,137,1
0000001.jpg,9,0.675162672996521,0.17111940681934357,-0.042847029864788055,432,82,1
0000001.jpg,10,0.6551791429519653,0.24165619909763336,-0.0521058589220047,419,115,1
0000001.jpg,11,0.6454800367355347,0.28098732233047485,-0.045857492834329605,413,134,1
0000001.jpg,12,0.6392048001289368,0.311184287071228,-0.04106578603386879,409,149,1
0000001.jpg,13,0.6949566006660461,0.17620712518692017,-0.02750994823873043,444,84,1
0000001.jpg,14,0.6783987283706665,0.24164341390132904,-0.031931087374687195,434,115,1
0000001.jpg,15,0.6688165068626404,0.2803000509738922,-0.028065988793969154,428,134,1
0000001.jpg,16,0.6625434160232544,0.30915310978889465,-0.025126494467258453,424,148,1
0000001.jpg,17,0.7109208703041077,0.1749918907880783,-0.009324450045824051,454,83,1
0000001.jpg,18,0.7011781930923462,0.22940212488174438,-0.012862229719758034,448,110,1
0000001.jpg,19,0.6949883699417114,0.25833064317703247,-0.013223204761743546,444,123,1
0000001.jpg,20,0.6900627017021179,0.2805686593055725,-0.013849948532879353,441,134,1
0000002.jpg,0,0.6993680596351624,0.07104223221540451,-5.9489098930498585e-05,447,34,1
0000002.jpg,1,0.6577075719833374,0.08540930598974228,-0.0052117654122412205,420,40,1
0000002.jpg,2,0.6317556500434875,0.11799781024456024,-0.01258804090321064,404,56,1
0000002.jpg,3,0.6134262681007385,0.15891551971435547,-0.012461266480386257,392,76,1
0000002.jpg,4,0.5979430079460144,0.191703662276268,-0.01291393768042326,382,92,1
0000002.jpg,5,0.6517493724822998,0.15844011306762695,-0.05448491498827934,417,76,1
0000002.jpg,6,0.6310643553733826,0.22432447969913483,-0.059806615114212036,403,107,1
0000002.jpg,7,0.619315505027771,0.2589964270591736,-0.05407218635082245,396,124,1
0000002.jpg,8,0.611524224281311,0.2850636839866638,-0.048683058470487595,391,136,1
0000002.jpg,9,0.6746820211410522,0.17103515565395355,-0.043597836047410965,431,82,1
0000002.jpg,10,0.6548394560813904,0.24194666743278503,-0.052475668489933014,419,116,1
0000002.jpg,11,0.6452452540397644,0.28108668327331543,-0.04556175321340561,412,134,1
0000002.jpg,12,0.6391448974609375,0.31088387966156006,-0.03994639217853546,409,149,1
0000002.jpg,13,0.6945078372955322,0.17602312564849854,-0.028294842690229416,444,84,1
0000002.jpg,14,0.6784371733665466,0.24166543781757355,-0.03284703567624092,434,115,1
0000002.jpg,15,0.6689150333404541,0.2802196145057678,-0.028510326519608498,428,134,1
0000002.jpg,16,0.6627027988433838,0.3088194727897644,-0.024844933301210403,424,148,1
0000002.jpg,17,0.7103078961372375,0.17467527091503143,-0.010179098695516586,454,83,1
0000002.jpg,18,0.7011075615882874,0.22919729351997375,-0.013664611615240574,448,110,1
0000002.jpg,19,0.6951314806938171,0.258369117975235,-0.0135310934856534,444,124,1
0000002.jpg,20,0.6902905106544495,0.2807365655899048,-0.013689699582755566,441,134,1
0000003.jpg,0,0.6984754204750061,0.0711352601647377,-6.586002564290538e-05,447,34,1
0000003.jpg,1,0.6565830111503601,0.08656441420316696,-0.005829973146319389,420,41,1
0000003.jpg,2,0.6308224201202393,0.11881235986948013,-0.01316386554390192,403,57,1
0000003.jpg,3,0.6127992868423462,0.1596977561712265,-0.012575256638228893,392,76,1
0000003.jpg,4,0.5971860885620117,0.19179758429527283,-0.012848651967942715,382,92,1
0000003.jpg,5,0.6519578099250793,0.15801304578781128,-0.055302899330854416,417,75,1
0000003.jpg,6,0.6313418745994568,0.22414201498031616,-0.06094333156943321,404,107,1
0000003.jpg,7,0.6197478771209717,0.2592409551143646,-0.055148519575595856,396,124,1
0000003.jpg,8,0.6120775938034058,0.2857089638710022,-0.04992451146245003,391,137,1
0000003.jpg,9,0.674717366695404,0.17072975635528564,-0.04403509199619293,431,81,1
0000003.jpg,10,0.6548470854759216,0.24136069416999817,-0.0528707355260849,419,115,1
0000003.jpg,11,0.6452195644378662,0.2807384729385376,-0.046369895339012146,412,134,1
0000003.jpg,12,0.6388376951217651,0.3108474016189575,-0.04131431505084038,408,149,1
0000003.jpg,13,0.6941631436347961,0.17638541758060455,-0.028628194704651833,444,84,1
0000003.jpg,14,0.6779269576072693,0.2416929006576538,-0.03369758650660515,433,116,1
0000003.jpg,15,0.6687079071998596,0.28044000267982483,-0.03056975267827511,427,134,1
0000003.jpg,16,0.6624466776847839,0.3094363212585449,-0.027939660474658012,423,148,1
0000003.jpg,17,0.7095237970352173,0.1758648008108139,-0.010285924188792706,454,84,1
0000003.jpg,18,0.7005926966667175,0.2300473004579544,-0.015025226399302483,448,110,1
0000003.jpg,19,0.6951391100883484,0.2593386769294739,-0.01628851145505905,444,124,1
0000003.jpg,20,0.6905263662338257,0.2821410596370697,-0.017612596973776817,441,135,1
0000004.jpg,0,0.6969270706176758,0.07266781479120255,-6.204423698363826e-05,446,34,1
0000004.jpg,1,0.6547812819480896,0.08872170001268387,-0.006278092972934246,419,42,1
0000004.jpg,2,0.6289704442024231,0.12069545686244965,-0.014625944197177887,402,57,1
0000004.jpg,3,0.610943078994751,0.16134168207645416,-0.014823747798800468,391,77,1
0000004.jpg,4,0.59590083360672,0.19509591162204742,-0.015590306371450424,381,93,1
